age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_sub_willingness_binary,uses_smartphone,uses_computer,uses_speaker,uses_wearable,device_diversity,primary_listening_device,Age_Segment,Relaxation,Motivational,Sadness,Social,Uses_Recommendations,Uses_Playlists,Uses_Radio,Uses_External,music_expl_category,Travel_Listening,Leisure_Listening,Workout_Listening,Study_Listening,Office_Listening,Night_Winddown,pod_lis_category
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok,0,1,1,0,0,2,Smartphone,Young Adult,0,0,0,1,0,0,0,1,External Discovery,1,1,0,0,1,0,Light user
12-20,Female,6 months to 1 year,Computer or laptop,Premium,No,None,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok,0,0,1,0,0,1,Computer,Teen Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Regular user
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium,Yes,Student plan,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,1,0,0,1,0,1,Speaker,Young Adult,0,1,1,0,0,0,0,1,External Discovery,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,Wearable devices,Free,Yes,Duo plan,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied,1,0,0,0,1,1,Wearable,Young Adult,0,0,1,0,1,0,0,0,Algorithm-driven,0,0,0,1,0,0,Regular user
35-60,Male,1 year to 2 years,Computer or laptop,Free,Yes,Individual plan,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,No Podcast Usage,Shorter,Ok,1,0,1,0,0,1,Computer,Adult Listener,0,0,0,1,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Light user
12-20,Female,1 year to 2 years,Computer or laptop,Free,Yes,Individual plan,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Regular user
12-20,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Podcast,Classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,0,1,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Non-podcast user
12-20,Female,Less than 6 months,Smartphone,Free,Yes,Duo plan,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok,1,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,0,0,1,0,Radio/Autoplay,0,0,0,1,0,0,Light user
35-60,Male,Less than 6 months,Smartphone,Free,No,None,Podcast,Classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Adult Listener,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Regular user
12-20,Others,6 months to 1 year,Computer or laptop,Free,Yes,Individual plan,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Regular user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,No Podcast Usage,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Regular user
20-35,Male,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied,1,0,1,0,0,1,Computer,Young Adult,0,0,1,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
12-20,Male,6 months to 1 year,Computer or laptop,Free,No,None,Podcast,Rap,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok,0,0,1,0,0,1,Computer,Teen Listener,0,1,0,0,0,0,0,1,External Discovery,0,0,0,1,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual plan,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,0,0,0,1,0,Regular user
35-60,Others,More than 2 years,Smart speakers or voice assistants,Free,No,None,Podcast,Classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied,0,0,0,1,0,1,Speaker,Adult Listener,0,1,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,0,1,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Premium,Yes,Individual plan,Music,Classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,No Podcast Usage,Both,Longer,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,0,0,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
12-20,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Teen Listener,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,1,2,Smartphone,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Other,Story telling,Well known individuals,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,0,0,Playlist-driven,0,0,0,0,1,0,Light user
20-35,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,No Podcast Usage,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,1,1,1,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Premium,Yes,Individual plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium,Yes,Individual plan,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,1,0,2,Smartphone,Young Adult,1,0,0,1,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Male,More than 2 years,Smartphone,Premium,Yes,Individual plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,No Podcast Usage,Story telling,No Podcast Usage,No Podcast Usage,Very Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,1,0,Hybrid: Rec + Playlist,1,1,1,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,No Podcast Usage,Story telling,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,0,0,0,1,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,No Podcast Usage,Interview,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,No Podcast Usage,Educational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,0,1,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,1,0,0,0,1,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,No Podcast Usage,Educational,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,0,0,1,External Discovery,1,1,1,1,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium,Yes,Duo plan,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied,1,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,No Podcast Usage,Interview,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Other,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5,Once a week,Comedy,Conversational,No Podcast Usage,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,1,0,1,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,0,0,Playlist-driven,1,1,1,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Premium,No,None,Music,Classical,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium,No,None,Music,Other,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",2,Rarely,Other,Conversational,Well known individuals,Longer,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,0,1,1,1,1,0,Hybrid: Rec + Playlist,1,1,1,1,1,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,1,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Duo plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,1,1,1,0,0,2,Smartphone,Young Adult,1,0,1,1,0,0,0,1,External Discovery,1,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,1,0,0,0,Regular user
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,1,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
12-20,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,0,0,1,Algorithm-driven,1,0,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
